Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:03<00:09,  3.10s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:07<00:07,  3.92s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:16<00:06,  6.32s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:17<00:00,  4.22s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:17<00:00,  4.44s/it]
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-110", "final_pass_at_1": 1.0, "initial_passes": 2, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/110"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-111", "final_pass_at_1": 0.0, "initial_passes": 0, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/111"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-112", "final_pass_at_1": 1.0, "initial_passes": 2, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/112"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-113", "final_pass_at_1": 0.0, "initial_passes": 0, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/113"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-114", "final_pass_at_1": 0.0, "initial_passes": 0, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/114"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-115", "final_pass_at_1": 0.0, "initial_passes": 0, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/115"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-116", "final_pass_at_1": 1.0, "initial_passes": 0, "round_pass_at_1": [0.0, 1.0, 0.0, 0.0], "task_id": "HumanEval/116"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-117", "final_pass_at_1": 1.0, "initial_passes": 1, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/117"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-118", "final_pass_at_1": 0.0, "initial_passes": 0, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/118"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-119", "final_pass_at_1": 0.0, "initial_passes": 0, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/119"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard2/HumanEval-120", "final_pass_at_1": 0.0, "initial_passes": 0, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/120"}
